District,Literacy_Rate,Tourists_Lakhs,IT_Companies,MSME_Count,Latitude,Longitude,Livability_Score
Thiruvananthapuram,93.0,45.2,180,42000,8.52,76.94,80.0
Kollam,91.1,18.3,42,31000,8.89,76.58,50.9
Pathanamthitta,93.6,12.1,8,15000,9.26,76.79,45.1
Alappuzha,92.1,38.7,19,28000,9.5,76.34,60.8
Kottayam,95.0,15.4,31,24000,9.59,76.52,49.7
Idukki,85.4,22.6,5,18000,9.92,77.1,47.6
Ernakulam,94.0,52.3,320,68000,9.99,76.3,97.6
Thrissur,91.3,21.8,67,41000,10.52,76.21,55.3
Palakkad,84.2,14.2,22,33000,10.77,76.65,43.9
Malappuram,93.8,31.8,74,38000,11.07,76.07,62.7
Kozhikode,94.2,29.4,48,45000,11.25,75.78,59.0
Wayanad,89.0,8.4,4,12000,11.61,76.08,40.8
Kannur,96.2,19.6,29,29000,11.87,75.37,52.4
Kasaragod,90.1,7.5,7,16000,12.5,74.99,41.0
